Name,Innings,Not_outs,Highest_score,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes,2022_Team,2023_Team,Country
B. Sai Sudharsan,8,1,96,256,141.4,0,3,0,33,12,Gujarat Titans,Gujarat Titans,India
Sanju Samson,14,2,66*,236,153.38,0,3,2,25,24,Rajasthan Royals,Rajasthan Royals,India
Prabhsimran Singh,14,0,103,238,150.42,1,1,2,38,19,Punjab Kings,Punjab Kings,India
Nicholas Pooran,15,3,62,207,172.94,0,2,2,26,26,Sunrisers Hyderabad,Lucknow Super Giants,West Indies
Hardik Pandya,15,4,66,253,136.75,0,2,0,26,15,Gujarat Titans,Gujarat Titans,India
N. Tilak Varma,11,3,84*,209,164.11,0,1,0,26,23,Mumbai Indians,Mumbai Indians,India
Rohit Sharma,16,0,65,250,132.8,0,2,2,35,17,Mumbai Indians,Mumbai Indians,India
Ajinkya Rahane,11,1,71*,189,172.48,0,2,0,24,16,Kolkata Knight Riders,Chennai Super Kings,India
Mohit Sharma,14,1,49*,198,156.06,0,0,1,22,21,Not in IPL,Gujarat Titans,India
Vijay Shankar,10,2,63*,188,160.1,0,3,0,27,15,Gujarat Titans,Gujarat Titans,India
Shimron Hetmyer,13,5,56*,197,151.77,0,1,0,12,23,Rajasthan Royals,Rajasthan Royals,West Indies
Jason Roy,8,0,61,188,151.59,0,2,0,36,12,Not in IPL,Kolkata Knight Riders,England
Axar Patel,13,3,54,203,139.4,0,1,0,21,15,Delhi Capitals,Delhi Capitals,India
Liam Livingstone,9,1,94,171,163.15,0,2,0,20,19,Punjab Kings,Punjab Kings,England
Sam Curran,13,3,55,203,135.96,0,1,0,20,13,Not in IPL,Punjab Kings,England
K. L. Rahul,9,1,74,242,113.22,0,2,0,28,4,Lucknow Super Giants,Lucknow Super Giants,India
Rahul Tripathi,13,1,74*,213,128.16,0,1,1,29,10,Sunrisers Hyderabad,Sunrisers Hyderabad,India
Mayank Agarwal,10,0,83,210,128.57,0,1,0,29,6,Punjab Kings,Sunrisers Hyderabad,India
Devdutt Padikkal,11,1,52,200,130.5,0,2,0,31,6,Rajasthan Royals,Rajasthan Royals,India
